"","AgencyName","NTDID","OrgType","reptype","id","survey_response","pop","mile","VOMS","revenue","City","County","Address","Zip","minutes_sum","minutes"
"80","Imperial County Transportation Commission","90226","MPO/RTPA","Full Reporter","Principal City",0,179023,425,28,7313641,"El Centro","Imperial","1503 N Imperial Avenue Ste 104","92243",39,1
"81","Inglewood","90268","Local Government","Reduced Reporter","Suburban City",0,222357,21,12,972911,"Inglewood","Los Angeles","One Manchester Blvd","90301",32,1
"82","Kern COG","","MPO/RTPA","","",0,NA,NA,NA,NA,"Bakersfield","","","",NA,0
"83","Kern Regional Transit","9R02-91059","Independent Public Agency","Rural Reporter","Principal City",0,NA,NA,45,NA,"Bakersfield","Kern","2700 M Street Ste 400","93301",NA,0
"84","Kings County Area Public Transit Agency","90200","Independent Public Agency","Full Reporter","Principal City",0,70408,13,21,4735679,"Hanford","Kings","610 W 7th Street","93230",9,1
"85","Kings County Association of Governments (KCAG)","","MPO/RTPA","","",0,NA,NA,NA,NA,"Lemoore","","","",NA,0
"86","La Mirada","90024","Local Government","","",0,NA,NA,NA,NA,"La Mirada","","13700 La Mirada Blvd","90638",NA,0
"87","Laguna Beach","90119","Local Government","Full Reporter","Suburban City",0,22723,9,23,3678884,"Laguna Beach","Orange","","",19,1
"88","Lake Transit Authority","9R02-91053","Independent Public Agency","Rural Reporter","Principal City",0,NA,NA,26,NA,"Visalia","Tulare","525 South Main Street Ste G","95482",7,1
"89","Lassen Transit Service Agency","9R02-91098","Independent Public Agency","Rural Reporter","Principal City",1,NA,NA,5,NA,"Susanville","Lassen","707 Nevada Street Ste 4","96130",NA,0
"90","Lawndale","90280","Local Government","Reduced Reporter","Suburban City",0,32769,2,2,470270,"Lawndale","Los Angeles","","",18,1
"91","Livermore / Amador Valley Transit Authority","90144","Independent Public Agency","Full Reporter","Principal City",1,233853,40,62,31303049,"Livermore","Alameda","1362 Rutan Court Ste 100","94551",28,1
"92","Lodi","90175","Local Government","Reduced Reporter","Small Rural City",1,67121,16,16,4879737,"Lodi","San Joaquin","PO Box 3006","95240",22,1
"93","Lompoc","90149","Local Government","Reduced Reporter","Small Rural City",1,55666,40,23,4973948,"Lompoc","Santa Barbara","1300 W Laurel Street  Bldg 4A","93436",16,1
"94","Long Beach Transit","90023","Other","Full Reporter","Principal City",1,849028,100,197,117417425,"Long Beach","Los Angeles","","",8,1
"95","Los Angeles","90147","Local Government","Full Reporter","Principal City",1,4849476,465,359,150833167,"Los Angeles","Los Angeles","","",12,1
"96","Los Angeles County Department of Public Works - Avocado Heights","90270","Local Government","Reduced Reporter","Suburban City",0,15500,9,1,251372,"Alhambra","Los Angeles","","",NA,0
"97","Los Angeles County Department of Public Works - East L.A.","90271","Local Government","Reduced Reporter","Suburban City",0,126496,8,13,2510283,"Alhambra","Los Angeles","","",NA,0
"98","Los Angeles County Department of Public Works - East Valinda","90272","Local Government","Reduced Reporter","Suburban City",0,22822,15,1,266864,"Alhambra","Los Angeles","","",NA,0
"99","Los Angeles County Department of Public Works - South Whittier","90276","Local Government","Reduced Reporter","Suburban City",0,86883,5,4,1091545,"Alhambra","Los Angeles","","",NA,0
"100","Los Angeles County Dept. of Public Works - Athens Shuttle Service","90269","Local Government","Reduced Reporter","Suburban City",0,23159,25,1,243360,"Alhambra","Los Angeles","","",NA,0
"101","Los Angeles County Dept. of Public Works - Florence-Firestone","90273","Local Government","Reduced Reporter","Suburban City",0,63387,7,2,331191,"Alhambra","Los Angeles","","",NA,0
